English	Spanish	SRD?
gargantuan	gargantuesca	si
giant	gigante	no
giantkind	gigantidad	no
glyph	glifo	no
gnome	gnomo	si
Gnomish (language)	gnomo	Si
goblin	duende	si
goblinoid	trasgos	no
Grappled	agarrado	Si
halfling	mediano	si
Hazard	peligro	No
Healing	curación	Si
heavily obscured	muy oscurecido	no
hell-spawned (adjective)	engrendada por infierno	si
hellspawn (noun)	engendro de infierno	si
Help	Ayudar	Si
Hide	Esconderse	Si
high jump	salto de altura	si
History	Historia	Si
hit (with an attack)	impactar (con un ataque)	si
hit dice	dados de golpe	si
hit points	puntos de golpe (pg)	si
Hover	revolotear	No
huge	enorme	si
human	humano	si
humanoid	humanoide	si
ideals	ideales	si
Illusion	ilusión	si
Illusions	ilusiones	si
Immunity	inmunidad	Si
Improvised Weapons	armas improvisadas	Si
Incapacitated	incapacitado	Si
increase (an ability score)	aumenta (un puntuación de característica)	si
Influence	influencia	No
Initiative	iniciativa	si
insectile (not insectoid)	insectil	no
Insight	perspicacia	si
Inspiration	inspiración	si
instantaneous	instantánea	si
Intelligence	inteligencia	si
interplanar (adjective)	interplanar	si
Intimidation	intimidación	si
Invisible	invisible	si
jump	saltar	si
Keyword	palabras clave	No
large	grande	si
lightly obscured	parcialmente oscurecido	no
Lightning	relámpago	Si
line	línea	si
lock pick (noun)	ganzúas	si
long jump	salto de longitud	si
long rest	descanso largo	si
Magic (adjective)	mágico	Si
Magic (noun)	Magia	Si
Magic Item	objetos mágicos	si
make (a check)	hacer (una prueba)	si
martial	marcial	si
Material	material 	Si
maximum hit points	Máximo de puntos de golpe	si
Medicine	medicina	si
medium	mediano	si
melee	cuerpo a cuerpo	si
metamagic	metamagia	si
miss (with an attack)	errar (con un ataque)	si
mixed ancestry	ascendencia mixta	si
Monster	monstruos	si
monstrosity	monstruosidad	si
mount	montura	si
Movement	movimiento	si
Nature	Naturaleza	si
Necromancy	nigromancia	si
Necrotic	necrótico	si
non-player character	personaje no jugador	si
nonmagical	no mágicas	si
oath 	juramento	si
Object	objeto	si
observe	observar	si
Occupied Space	espacio ocupado	si
ooze	cieno	si
Opportunity Attack	ataque de oportunidad	si
orc	orco	si
Paralyzed	paralizado	si
parasense	parasenso	No: coining.
Passive Perception	percepción pasiva	si
Patron	patrón	si
Per Day	por día	si
Perception	percepción	si
Performance	interpretación	si
Persuasion	persuasión	si
Petrified	petrificado	no
Piercing	perforante	si
pinpoint	localizar	No
plane	plano	si
plant	plantas	si
Player	jugador	si
Player Character	personaje de jugador	si
player character	personaje de jugador	si
Poison	veneno	si
poison	veneno	si
Poisoned	envenenado	si
proficiency	competencia	si
proficiency bonus	bonificador por competencia	si
Prone	de bruces	si
properties	propiedades	si
Psychic	psíquico	si
Radiant	radiante	si
rage	furia	si
Range	alcance	si
range	alcance	si
ranged	a distancia	si
Reach	(gran) alcance	si
Reaction	reacción	si
Ready (an action)	preparar una acción	no
reduce (a target to x HP)	reducir	si
regain (HP)	recuperar	si
Religion	religión	si
Resistance	resistencia (al)	si
restore (HP)	hacer recuperar a 	si
Restrained	apresado	si
Ritual	ritual	si
rogue	pícaro	Si
roleplay/roleplaying	interpretar/juegos de interpretación	No
Round	redondear	si
Round Down	redondear hacia abajo	si
rulebook	libro de reglamento	No
save	tener éxito en una tirada de salvación/la tirada tiene éxito	No
Save DC	CD de salvación	si
saving throw	tirada de salvación	Si
school of magic	escuela mágica	si
score ( a critical hit)	conseguir un crítico	si
scry/scries/scried/scrying/scryer (one who scries)	escrudiñar/escrudiñador	si
Search	buscar	no
sellsword	mercenario	si
sense	sentir	si
shapechange/shapechanger	cambiar forma/cambiador de forma	no
shapeshifter	metamorfo	no
Shapeshifting	cambio de forma	no
Short Rest	descanso corto	si
simple	simple	si
Simultaneous Effects	efectos simultáneos	si
size	tamaño	si
Slashing	cortante	si
Sleight of Hand	juego de manos	si
small	pequeño	si
Somatic	somático	si
space	espacio	si
Speed	velocidad	si
Spell	conjuro	si
spell attack modifier	bonificador de ataque con conjuro	si: adaptado. 
spell scroll	pergamino de conjuro	si
spell trap	trampa de conjuro	no
spell ward	guarda de conjuro	no
spell-shield	escudo de conjuro	no
Spellbook	libro de conjuros	si
spellbook	libro de conjuros	si
Spellcaster	lanzador	si
spellcaster/spellcasting	lanzador/lanzamiento de conjuros	si
Spellcasting	lanzamiento de conjuros	si
spellcraft (noun)	el lanzamiento	si
sphere	esfera	si
staffs (not staves)	bastón	si
Stat Block	tabla de estadistícas 	no
Stealth	sigilo	si
Strength	fuerza	si
Study	investigar	no
Stunned	aturdido	si
subclass	subclase	no
succeed (a check)	tener éxito en una prueba de habilidad/características	si
summon	invocar	si
Surprise	sorpresa	si
Survival	supervivencia	si
Swim	nadar	si
take (an attack)	hacer un ataque	si
take (damage)	recibir (daño)	si
Target	objetivo	si
Target	eligir como objetivo	si
tavernkeeper	posadero	no
Telepathy	telepatía	si
Teleportation	teletransportación	si
temporary hit points	puntos de golpe temporales	si
tenet	principios	si
thrown	tirado	si
Thunder	trueno	si
tiefling	tiefling	si
tiny	línea de tiempo	si
titanic	titánico	si
tools	herramientas	si
Transmutation	transmutación	si
Tremorsense	sentir vibraciones	si
Truesight	visión verdadera	si
turn	turno	si
unarmed strike	ataque sin armas	si
Unconscious	inconsciente	si
undead	muertos vivientes	si
unoccupied space	espacio sin ocupar	si
Utilize	usar un objeto	si
vanguard	vanguardia	no
Verbal	verbal	si
versatile	versátil	si
Vulnerability	vulnerabilidad (al)	si
warlock	pactosuario	No: coining.
wielding	usar (armas) 	si
Wisdom	Sabiduría	si
wizard	mago	si
wodewose	naturalador	No: coining.
worshiped/worshiper/worshiping	venerar	si
