Order,Filename,Section,Chapter directory,Alt Text,Artist,Artist Contact/Portfolio,Rights,File path
12,gnoll attack - Adrian Arduini Adventures,Wilderness Travel,04_Running_Game_Sessions,A woman holding a spear and shield stands on rocky terrain next to a wounded man while two gnolls approach with weapons,Adrian Arduini,https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini,"gnoll attack - Adrian Arduini Adventures  © 2025 Wyrmworks Publishing by Adrian Arduini (https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/gnoll attack - Adrian Arduini Adventures
13,dragon-soars-above-stormy-sky,Determine the Weather,???,,Public Domain,,"dragon-soars-above-stormy-sky is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/???/dragon-soars-above-stormy-sky
14,"/Mushrooms, mountain-41818_1920",Underlands Expeditions,04_Running_Game_Sessions,Two figures stand together inside a rocky cavern,Public Domain,,"/Mushrooms, mountain-41818_1920 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/","assets/images/Conductors_Companion/04_Running_Game_Sessions//Mushrooms, mountain-41818_1920"
15,Minotaur Charge - Adrian Arduini Adventures,Dungeon Crawls,???,"A minotaur warrior charges down temple steps with a raised ax while a spellcaster stands behind, holding a flame.",Adrian Arduini,https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini,"Minotaur Charge - Adrian Arduini Adventures © 2025 Wyrmworks Publishing by Adrian Arduini (https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/???/Minotaur Charge - Adrian Arduini Adventures
16,temple-48885_1920,Monuments,04_Running_Game_Sessions,"an ancient, ruined stone temple structure",Public Domain,,"temple-48885_1920 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/temple-48885_1920
17,poison-5591324,Poisons,04_Running_Game_Sessions,A glass bottle with a cork stopper contains a layered liquid and has a label partly visible with the word “POI…” on it.,Public Domain,,"poison-5591324 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/poison-5591324
18,Traps,Traps,04_Running_Game_Sessions,"A wall-mounted spike trap in a dungeon that left marks on the ground from rotating, as well as a small pool of blood in front of the trap",Venom For Free,https://bsky.app/profile/venom-for-free.bsky.social,"Traps © 2025 Wyrmworks Publishing by Venom For Free (https://bsky.app/profile/venom-for-free.bsky.social) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/Traps
19,Bottles and Pots - © Stoneshore CC-BY-4.0,Objects,04_Running_Game_Sessions,"A collection of fantasy potion bottles and ceramic pots of various shapes and sizes, arranged on a surface",Stoneshore,https://stoneshore.itch.io/,"Bottles and Pots - © Stoneshore CC-BY-4.0  © 2025 by Stoneshore (https://stoneshore.itch.io/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/Bottles and Pots - © Stoneshore CC-BY-4.0
20,sailing-ship-147005_1920,Vehicles,04_Running_Game_Sessions,"A large multi-masted sailing ship with full rigging and flags, moving across open water.",Public Domain,,"sailing-ship-147005_1920 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/sailing-ship-147005_1920
21,Inner Planes,The Planes of Existence,04_Running_Game_Sessions,"a diagram of the elemental, material, and energy planes",Dale Critchley,https://wyrmworkspublishing.com,"Inner Planes © 2025 Wyrmworks Publishing by Dale Critchley (https://wyrmworkspublishing.com) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/Inner Planes
22,Outer Planes,The Planes of Existence,04_Running_Game_Sessions,a diagram of the outer planes around the material plane,Dale Critchley,https://wyrmworkspublishing.com,"Outer Planes © 2025 Wyrmworks Publishing by Dale Critchley (https://wyrmworkspublishing.com) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/Outer Planes
23,tavern wench - Adrian Arduini Adventures,Social Encounters,04_Running_Game_Sessions,a woman holding steins of beer,Adrian Arduini,https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini,"tavern wench - Adrian Arduini Adventures © 2025 Wyrmworks Publishing by Adrian Arduini (https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/tavern wench - Adrian Arduini Adventures
24,merchant-7402336,Between Adventures,04_Running_Game_Sessions,"A person stands at an open arched shop window in a stone building, speaking with a merchant who stands behind a counter piled with goods",Public Domain,,"merchant-7402336 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/merchant-7402336
25,bandit attack B&W - Adrian Arduini Adventures,Combat Encounters,04_Running_Game_Sessions,an adventuring party fighting off attackers around a wooden wagon. Archers and spellcasters stand on or near the wagon while several melee fighters clash with armed assailants in the foreground,Adrian Arduini,https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini,"bandit attack B&W - Adrian Arduini Adventures © 2025 Wyrmworks Publishing by Adrian Arduini (https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/bandit attack B&W - Adrian Arduini Adventures
26,DnD_Green_slime,Encounter Elements,03_Preparing_Quests_and_Adventures,"A cave entrance coated with hanging and pooled slime, with darkness beyond the opening.",Lady of Hats,https://commons.wikimedia.org/wiki/User:LadyofHats,"DnD_Green_slime by Lady of Hats (https://commons.wikimedia.org/wiki/User:LadyofHats) is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/DnD_Green_slime
27,DnD_Orc,Running Hordes,03_Preparing_Quests_and_Adventures,An armored orc shouting and attacking with a sword while several other armed orcs charge in the background.,Lady of Hats,https://commons.wikimedia.org/wiki/User:LadyofHats,"DnD_Orc by Lady of Hats (https://commons.wikimedia.org/wiki/User:LadyofHats) is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/DnD_Orc
28,zone combat,Zone-Based Combat,03_Preparing_Quests_and_Adventures,"A cave map drawn on a grid, showing an irregular cavern labeled “1” and “3,” a central rocky mound, and several round character tokens including a large dragon token near the left side.",Public Domain,,"zone combat is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/zone combat
29,PaolaHikari_Theater_of_the_Mind_Guidelines,Theater of the Mind Guidelines,04_Running_Game_Sessions,"Four people sit around a table with dice, papers, and a GM screen while, above them, a translucent scene shows adventurers facing a dragon in stone ruins",Paola Recalcati,https://hikari_illustrations.artstation.com/,"PaolaHikari_Theater_of_the_Mind_Guidelines © 2025 Wyrmworks Publishing by Paola Recalcati (https://hikari_illustrations.artstation.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/04_Running_Game_Sessions/PaolaHikari_Theater_of_the_Mind_Guidelines
30,PaolaHikari_Quick_Tricks_for_Easier_Games,Quick Tricks for Easier Games,???,Two twenty-sided dice float in front of a burst of jagged lines suggesting a dramatic roll,Paola Recalcati,https://hikari_illustrations.artstation.com/,"PaolaHikari_Quick_Tricks_for_Easier_Games © 2025 Wyrmworks Publishing by Paola Recalcati (https://hikari_illustrations.artstation.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/???/PaolaHikari_Quick_Tricks_for_Easier_Games
31,Making Camp - © Stoneshore CC-BY-4.0,Campsite Stories,???,backpack rests on the ground with a sword leaning across it; small flowers and grass grow around the bag,Stoneshore,https://stoneshore.itch.io/,"Making Camp - © Stoneshore CC-BY-4.0  © 2025 by Stoneshore (https://stoneshore.itch.io/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/???/Making Camp - © Stoneshore CC-BY-4.0
32,armor-6153736,Magic Items,03_Preparing_Quests_and_Adventures,A pair of armored gauntlets rests on a long sword surrounded by small leafy branches and star-shaped flowers.,Public Domain,,"armor-6153736 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/armor-6153736
33,jar-7161224,Magic Items,03_Preparing_Quests_and_Adventures,Two round-bottomed bottles containing dark swirling liquid marked with small stars and diamond shapes,Public Domain,,"jar-7161224 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/jar-7161224
34,Armor TTRPG-Art-Asset_24-28 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,"Armor TTRPG-Art-Asset_24        A short-sleeved armor coat with a belt and rows of large square studs and round rivets covering the front and shoulders.
Armor TTRPG-Art-Asset_25        A bulky armor jacket with a high collar, many straps and buckles, and several throwing knives and pouches attached across the chest and sleeves.
Armor TTRPG-Art-Asset_26        A torso armor piece with crossed bands over the chest, round clasps at the shoulders, and a scalloped lower edge and sleeves.
Armor TTRPG-Art-Asset_27        A smooth, layered breastplate with a raised collar, rounded pauldrons, and circular decorations along the upper edge.
Armor TTRPG-Art-Asset_28        A stitched armor tunic with a belt at the waist and rows of bones lining the shoulders and sleeves.",Fisktak (CC-0),https://fisktak.itch.io/,"Armor TTRPG-Art-Asset_24-28 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Armor TTRPG-Art-Asset_24-28 - by Fisktak CC-0
35,Axe TTRPG-Art-Asset_02 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A double-bladed axe with pointed blade tips and a wrapped handle,Fisktak (CC-0),https://fisktak.itch.io/,"Axe TTRPG-Art-Asset_02 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Axe TTRPG-Art-Asset_02 - by Fisktak CC-0
36,Belt TTRPG-Art-Asset_37 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A belt made of rectangular plates with a front buckle shaped like a skull with small fangs,Fisktak (CC-0),https://fisktak.itch.io/,"Belt TTRPG-Art-Asset_37 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Belt TTRPG-Art-Asset_37 - by Fisktak CC-0
37,Boots TTRPG-Art-Asset_36 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A pair of heavy armored boots with layered plates and pointed toes,Fisktak (CC-0),https://fisktak.itch.io/,"Boots TTRPG-Art-Asset_36 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Boots TTRPG-Art-Asset_36 - by Fisktak CC-0
38,Boots TTRPG-Art-Asset_34 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,"A pair of tall boots with stitched panels, front lacing, and straps across the feet",Fisktak (CC-0),https://fisktak.itch.io/,"Boots TTRPG-Art-Asset_34 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Boots TTRPG-Art-Asset_34 - by Fisktak CC-0
39,Bracers TTRPG-Art-Asset_33 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,Two bracers with scale-patterned central sections and curved decorative edges.,Fisktak (CC-0),https://fisktak.itch.io/,"Bracers TTRPG-Art-Asset_33 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Bracers TTRPG-Art-Asset_33 - by Fisktak CC-0
40,flying-carpet-4010500 OR carpet-of-flying-2221104,Magic Item,03_Preparing_Quests_and_Adventures,"A man in a feathered turban and vest kneels on a patterned rug, holding a small oil lamp with both hands. OR An ornate floral rug floats in the air, undulating with one end curled upward.",Public Domain,,"flying-carpet-4010500 OR carpet-of-flying-2221104 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/flying-carpet-4010500 OR carpet-of-flying-2221104
41,Killer Whale Chair -  Erin Z Anderson,Magic Item,03_Preparing_Quests_and_Adventures,"black & white wheelchair made from orca bones, the back of the chair from the jaw",Erin Z Anderson,http://erinzandersonillustration.com/,"Killer Whale Chair -  Erin Z Anderson is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Killer Whale Chair -  Erin Z Anderson
42,Cloak TTRPG-Art-Asset_30 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,"A hooded cloak decorated with patterned trim, a circular clasp, and multiple hanging tassels",Fisktak (CC-0),https://fisktak.itch.io/,"Cloak TTRPG-Art-Asset_30 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Cloak TTRPG-Art-Asset_30 - by Fisktak CC-0
43,genie-2221105,Magic Item,03_Preparing_Quests_and_Adventures,,Public Domain,,"genie-2221105 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/genie-2221105
44,Dagger of Venom,Magic Item,03_Preparing_Quests_and_Adventures,"A hand holding a curved dagger with curled edges and an indent in the middle of the dagger, where venom runs through that pools at the tip.",Venom For Free,https://bsky.app/profile/venom-for-free.bsky.social,"Dagger of Venom © 2025 Wyrmworks Publishing by Venom For Free (https://bsky.app/profile/venom-for-free.bsky.social) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Dagger of Venom
45,Hammer TTRPG-Art-Asset_09 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A short-handled hammer with a rectangular head and a ring attached at the base of the grip,Fisktak (CC-0),https://fisktak.itch.io/,"Hammer TTRPG-Art-Asset_09 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Hammer TTRPG-Art-Asset_09 - by Fisktak CC-0
46,Gauntlets TTRPG-Art-Asset_31 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A pair of metal gauntlets with studded cuffs and segmented finger plates,Fisktak (CC-0),https://fisktak.itch.io/,"Gauntlets TTRPG-Art-Asset_31 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Gauntlets TTRPG-Art-Asset_31 - by Fisktak CC-0
47,Roselysium_HelmofComprehendLanguage_BackerComm_Greyscale,Magic Item,03_Preparing_Quests_and_Adventures,"This Helm of Comprehend Languages takes the shape of a circlet, which is currently worn by a half-elf with messy curly hair. They look up in amazement as the circlet's magic takes the shape of words and scriptures from various languages.",Roselysium,https://roselysium.carrd.co/,"Roselysium_HelmofComprehendLanguage_BackerComm_Greyscale is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Roselysium_HelmofComprehendLanguage_BackerComm_Greyscale
48,Helmet TTRPG-Art-Asset_18-20 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,"Helmet TTRPG-Art-Asset_18        A helmet with curved horns, small spikes on top, and patterned plates around the lower edge.
Helmet TTRPG-Art-Asset_19        A full helm with a flat front faceplate decorated with plus-shaped holes and riveted bands.
Helmet TTRPG-Art-Asset_20        A helmet with wing-shaped ornaments on the sides and a smooth domed top.",Fisktak (CC-0),https://fisktak.itch.io/,"Helmet TTRPG-Art-Asset_18-20 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Helmet TTRPG-Art-Asset_18-20 - by Fisktak CC-0
49,Mace TTRPG-Art-Asset_03 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,mace with a long wrapped handle and a large head covered in raised triangular studs,Fisktak (CC-0),https://fisktak.itch.io/,"Mace TTRPG-Art-Asset_03 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Mace TTRPG-Art-Asset_03 - by Fisktak CC-0
50,Mantle TTRPG-Art-Asset_29 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,"A mantle with layered fabric panels, decorative borders, and long hanging strips marked with runic symbols",Fisktak (CC-0),https://fisktak.itch.io/,"Mantle TTRPG-Art-Asset_29 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Mantle TTRPG-Art-Asset_29 - by Fisktak CC-0
51,Necklace TTRPG-Art-Asset_40 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A necklace with a faceted pendant attached to a looped cord,Fisktak (CC-0),https://fisktak.itch.io/,"Necklace TTRPG-Art-Asset_40 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Necklace TTRPG-Art-Asset_40 - by Fisktak CC-0
52,Bow TTRPG-Art-Asset_12 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A jointed bow with an arrow nocked,Fisktak (CC-0),https://fisktak.itch.io/,"Bow TTRPG-Art-Asset_12 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Bow TTRPG-Art-Asset_12 - by Fisktak CC-0
53,Potion 1 TTRPG-Art-Asset_50 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A round potion bottle with a tall ornate stopper and a small label on its front,Fisktak (CC-0),https://fisktak.itch.io/,"Potion 1 TTRPG-Art-Asset_50 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Potion 1 TTRPG-Art-Asset_50 - by Fisktak CC-0
54,Potion 2 TTRPG-Art-Asset_50 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,"A cylindrical vial with a capped top, reinforced rings, and a looped cord attached to it",Fisktak (CC-0),https://fisktak.itch.io/,"Potion 2 TTRPG-Art-Asset_50 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Potion 2 TTRPG-Art-Asset_50 - by Fisktak CC-0
55,Potion 3 TTRPG-Art-Asset_50 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A curved potion bottle with a bubbling liquid inside and a stopper tied with a small cord,Fisktak (CC-0),https://fisktak.itch.io/,"Potion 3 TTRPG-Art-Asset_50 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Potion 3 TTRPG-Art-Asset_50 - by Fisktak CC-0
