category,name,definition
Class Features,Unarmored Defense,"While you are not wearing any armor, your Armor Class equals 10 + your Dexterity modifier + your Constitution modifier. You can use a shield and still gain this benefit."
Class Features,Reckless Attack,"Starting at 2nd level, you can throw aside all concern for defense to attack with fierce desperation. When you make your first attack on your turn, you can decide to attack recklessly. Doing so gives you advantage on melee weapon attack rolls using Strength during this turn, but attack rolls against you have advantage until your next turn."
Class Features,Danger Sense,"At 2nd level, you gain an uncanny sense of when things nearby aren’t as they should be, giving you an edge when you dodge away from danger.

You have advantage on Dexterity saving throws against effects that you can locate locate can see, such as traps and spells. To gain this benefit, you can’t be blinded, deafened, or incapacitated."
Class Features,Dreadnought Path,"At 3rd level, you choose a path that shapes the nature of your rage. Your choice grants you features at 3rd level and again at 6th, 10th, and 14th levels."
Class Features,Ability Score Improvement,"At levels 4, 8, 12, 16, and 19, you can increase one ability score by 2 or two ability scores by 1, up to a maximum of 20."
Class Features,Extra Attack,"Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn."
Class Features,Fast Movement,"Starting at 5th level, your speed increases by 10 feet while you aren’t wearing heavy armor."
Class Features,Feral Instinct,"By 7th level, your instincts are so honed that you have advantage on initiative rolls.

Additionally, if you are surprised at the beginning of combat and aren’t incapacitated, you can act normally on your first turn, but only if you enter your rage before doing anything else on that turn."
Class Features,Brutal Critical,"Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack.

This increases to two additional dice at 13th level and three additional dice at 17th level."
Class Features,Relentless Rage,"Starting at 11th level, your rage can keep you fighting despite grievous wounds. If you drop to 0 hit points while you’re raging and don’t die outright, you can make a DC 10 Constitution saving throw. If you succeed, you drop to 1 hit point instead.

Each time you use this feature after the first, the DC increases by 5. When you finish a short or long rest, the DC resets to 10."
Class Features,Persistent Rage,"Beginning at 15th level, your rage is so fierce that it ends early only if you fall unconscious or if you choose to end it."
Class Features,Indomitable Might,"Beginning at 18th level, if your total for a Strength check is less than your Strength score, you can use that score in place of the total."
Class Features,Primal Champion,"At 20th level, you embody the power of the wilds. Your Strength and Constitution scores increase by 4. Your maximum for those scores is now 24."
Dreadnought,Dreadnought Paths,
Dreadnought Paths,Path of the Berserker,"For some Dreadnoughts, rage is a means to an end— that end being violence. The Path of the Berserker is a path of untrammeled fury, slick with blood. As you enter the berserker’s rage, you thrill in the chaos of battle, heedless of your own health or well-being."
Path of the Berserker,Frenzy,"Starting when you choose this path at 3rd level, you can go into a frenzy when you rage. If you do so, for the duration of your rage you can make a single melee weapon attack as a bonus action on each of your turns after this one. When your rage ends, you suffer one level of exhaustion (as described in appendix A)."
Path of the Berserker,Mindless Rage,"Beginning at 6th level, you can’t be charmed or frightened while raging. If you are charmed or frightened when you enter your rage, the effect is suspended for the duration of the rage."
Path of the Berserker,Intimidating Presence,"Beginning at 10th level, you can use your action to frighten someone with your menacing presence. When you do so, choose one creature that you can locate locate can see within 30 feet of you. If the creature can locate locate  see or hear you, it must succeed on a Wisdom saving throw (DC equal to 8 + your proficiency bonus + your Charisma modifier) or be frightened of you until the end of your next turn. On subsequent turns, you can use your action to extend the duration of this effect on the frightened creature until the end of your next turn. This effect ends if the creature ends its turn out of line of sight or more than 60 feet away from you.

If the creature succeeds on its saving throw, you can’t use this feature on that creature again for 24 hours."
Path of the Berserker,Retaliation,"Starting at 14th level, when you take damage from a creature that is within 5 feet of you, you can use your reaction to make a melee weapon attack against that creature."
Dreadnought Paths,Path of the Dragon,"Dreadnoughts tap into primal powers, and a Dreadnought of this path taps into one of the most ancient and primeval of them all: the power of dragons. Some say this path was born during the rage of dragons by mortals tapping into the primal rage as it washed across the world, others say that only those with latent dragon blood coursing through them can walk this path. What all can agree on is the result is a being to be feared.

As with most Dreadnought paths, ones following this path tend toward chaos, as they contain potent destructive power that paces at the edges of the cage, just waiting to be unleashed. Some, particularly those rare individuals that channel metallic colors, may be exceptions to this tendency."
Path of the Dragon,Path of the Dragon Features,"When you choose this path at 3rd level, when you enter a rage, you can choose to make your Rage bonus damage deal elemental damage matching your draconic type (shown on the table below).

Additionally, when you enter a rage you can take on aspects of a draconic entity, growing vicious natural weapons as claws grow from your hands, fangs sprout from your maw, and a vicious lashing tail grows from your back. Your claws deal 1d4 slashing damage. Your fangs deal 1d8 piercing damage, and your lashing tail deals 1d6 bludgeoning damage and has the reach property.

Whenever you attack with one of these natural weapons using the Attack action on your turn, if you are not carrying any weapon or shield, you can make a single unarmed strike with your claws as a bonus action.

When you gain this feature, you pick a color, and gain resistance corresponding to the element type of that color on the following Path of the Dragon Elements table below while raging."
Path of the Dragon,Path of the Dragon Elements,"Dragon Color | Element Type
Black | Acid
Blue | Lightning
Green | Poison
Red | Fire
White | Cold"
Path of the Dragon,Unleashed Brutality,"Starting at 6th level, once during a rage, as an attack as part of the Attack action, you can unleash your rage into pure energy, exhaling a blast of elemental power. Creatures within a 15-foot cone must make a Dexterity saving throw. The DC of this saving throw is 8 + your proficiency modifier + your strength modifier. A creature takes 6d6 damage of the Elemental Type of your Dragon Color on a failed save. The damage and range of this breath weapon increases at 10th level (to 8d6 in a 30-foot cone), at 14th level (10d6 in a 45-foot cone), and at 18th level (12d6 in a 60 foot cone)"
Path of the Dragon,Primal Weapons,"Additionally at 6th level, the natural weapons you gain while raging now count as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage."
Path of the Dragon,Dragonhide,"Starting at 10th level, the marks of your Draconic path now remain outside of your rage, manifesting as heavy scales that grant you resistance to bludgeoning, piercing, and slashing damage from nonmagical sources even when you are not raging. Additionally, you gain resistance to your dragon color’s elemental type even when you are not raging."
Path of the Dragon,Tyrant of the Skies,"By 14th level, when you enter a rage, you can sprout massive dragon wings from your back. If you are not wearing heavy armor, you gain a flying speed equal to your movement speed.

If you choose to manifest natural weapons and wings when you enter a rage, you can choose to entirely take on a draconic form while raging, becoming Large sized. When you take on a full draconic form, you choose whether your equipment falls to the ground in your space, merges into your new form, or is worn by it."
Classes,Bard,"Bards channel creativity into magic, shaping the world through speech, movement, or craft."
Bard,Class Features,"As a Bard, you gain the following class features."
Class Features,Hit Points,"**Hit Dice:** 1d8 per Bard level

**Hit Points at 1st Level:** 8 + your Constitution modifier

**Hit Points at Higher Levels:** 1d8 (or 5) + your Constitution modifier per Bard level after 1st"
Class Features,Proficiencies,"**Armor:** Light armor

**Weapons:** Simple weapons, hand crossbows, longswords, rapiers, shortswords

**Tools:** Three musical instruments of your choice

**Saving Throws:** Dexterity, Charisma

**Skills:** Choose any three"
Class Features,Equipment,"Lvl | Proficiency Bonus | Cantrips Known | Spells Known | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Features
1 | +2 | 2 | 4 | 2 | - | - | - | - | - | - | - | - | Spellcasting, Bardic Inspiration (d6)
2 | +2 | 2 | 5 | 3 | - | - | - | - | - | - | - | - | Jack of All Trades, Song of Rest (d6)
3 | +2 | 2 | 6 | 4 | 2 | - | - | - | - | - | - | - | Bard College, Expertise
4 | +2 | 3 | 7 | 4 | 3 | - | - | - | - | - | - | - | Ability Score Improvement
5 | +3 | 3 | 8 | 4 | 3 | 2 | - | - | - | - | - | - | Bardic Inspiration (d8), Font of Inspiration
6 | +3 | 3 | 9 | 4 | 3 | 3 | - | - | - | - | - | - | Countercharm, Bard College feature
7 | +3 | 3 | 10 | 4 | 3 | 3 | 1 | - | - | - | - | - | -
8 | +3 | 3 | 11 | 4 | 3 | 3 | 2 | - | - | - | - | - | Ability Score Improvement
9 | +4 | 3 | 12 | 4 | 3 | 3 | 3 | 1 | - | - | - | - | Song of Rest (d8)
10 | +4 | 4 | 14 | 4 | 3 | 3 | 3 | 2 | - | - | - | - | Bardic Inspiration (d10), Expertise, Magical Secrets
11 | +4 | 4 | 15 | 4 | 3 | 3 | 3 | 2 | 1 | - | - | - | -
12 | +4 | 4 | 15 | 4 | 3 | 3 | 3 | 2 | 1 | - | - | - | Ability Score Improvement
13 | +5 | 4 | 16 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | - | - | Song of Rest (d10)
14 | +5 | 4 | 18 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | - | - | Magical Secrets, Bard College feature
15 | +5 | 4 | 19 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | - | Bardic Inspiration (d12)
16 | +5 | 4 | 19 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | - | Ability Score Improvement
17 | +6 | 4 | 20 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | 1 | Song of Rest (d12)
18 | +6 | 4 | 22 | 4 | 3 | 3 | 3 | 3 | 1 | 1 | 1 | 1 | Magical Secrets
19 | +6 | 4 | 22 | 4 | 3 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | Ability Score Improvement
20 | +6 | 4 | 22 | 4 | 3 | 3 | 3 | 3 | 2 | 2 | 1 | 1 | Superior Inspiration"
Class Features,Spellcasting,"You have learned to untangle and reshape the fabric of reality in harmony with your wishes and music.

Your spells are part of your vast repertoire, magic that you can tune to different situations."
Spellcasting,Cantrips,"You know two cantrips of your choice from the Bard spell list. You learn additional Bard cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Bard table."
Spellcasting,Spell Slots,"The Bard table shows how many spell slots you have to cast your spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell’s level or higher. You regain all expended spell slots when you finish a long rest.

For example, if you know the 1st-level spell Cure Wounds and have a 1st-level and a 2nd-level spell slot available, you can cast Cure Wounds using either slot."
Spellcasting,Spells Known of 1st Level and Higher,"You know four 1st-level spells of your choice from the Bard spell list.

The Spells Known column of the Bard table shows when you learn more Bard spells of your choice. Each of these spells must be of a level for which you have spell slots, as shown on the table. For instance, when you reach 3rd level in this class, you can learn one new spell of 1st or 2nd level.

Additionally, when you gain a level in this class, you can choose one of the Bard spells you know and replace it with another spell from the Bard spell list, which also must be of a level for which you have spell slots."
Spellcasting,Spellcasting Ability,"Charisma is your spellcasting ability for your Bard spells. Your magic comes from the heart and soul you pour into the performance of your music or oration. You use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a Bard spell you cast and when making an attack roll with one.

**Spell save DC** = 8 + your proficiency bonus + your Charisma modifier

**Spell attack modifier** = your proficiency bonus + your Charisma modifier"
Spellcasting,Ritual Casting,You can cast any Bard spell you know as a ritual if that spell has the ritual tag.
Spellcasting,Spellcasting Focus,You can use a musical instrument (see “Equipment”) as a spellcasting focus for your Bard spells.
Class Features,Bardic Inspiration,"As a bonus action, you can inspire one creature within 60 feet who can locate locatecan hear you. The creature gains a Bardic Inspiration die (d6) to add to one ability check, attack roll, or saving throw within the next 10 minutes, after seeing the d20 roll but before knowing the outcome. Each creature can only have one die at a time. You have a number of uses equal to your Charisma modifier (minimum one), regaining expended uses after a long rest.

Bardic Inspiration die size increases at levels 5 (d8), 10 (d10), and 15 (d12)."
Class Features,Jack of All Trades,"Starting at 2nd level, you can add half your proficiency bonus, rounded down, to any ability check that uses a skill in which you aren’t proficient and doesn’t already include your proficiency bonus."
Class Features,Song of Rest,"Beginning at 2nd level, you can use soothing performance artmusic or oration to help revitalize your wounded allies during a short rest. If you or any friendly creatures who can locate locatecan hear your performance regain hit points at the end of the short rest by spending one or more Hit Dice, each of those creatures regains an extra 1d6 hit points.

The extra hit points increase when you reach certain levels in this class: to 1d8 at 9th level, to 1d10 at 13th level, and to 1d12 at 17th level."
Class Features,Bard College,"At 3rd level, you delve into the advanced techniques of a Bard college of your choice. Your choice grants you features at 3rd level and again at 6th and 14th level."
Class Features,Expertise,"At 3rd level, choose two of your skill proficiencies. You gain expertise with the chosen proficiencies.

At 10th level, you can choose another two skill proficiencies to gain this benefit."
Class Features,Ability Score Improvement,"At levels 4, 8, 12, 16, and 19, you can increase one ability score by 2 or two ability scores by 1, up to a maximum of 20."
Class Features,Font of Inspiration,"Beginning when you reach 5th level, you regain all of your expended uses of Bardic Inspiration when you finish a short or long rest."
Class Features,Countercharm,"At 6th level, you gain the ability to use performance artmusical notes or words of power to disrupt mind-influencing effects. As an action, you can start a performance that lasts until the end of your next turn. During that time, you and any friendly creatures within 30 feet of you have advantage on saving throws against being frightened or charmed. A creature must be able to see or hear you, as applicable to the art form, to gain this benefit. The performance ends early if you are incapacitated or prevented from continuingsilenced or if you voluntarily end it (no action required)."
Class Features,Magical Secrets,"By 10th level, you have plundered magical knowledge from a wide spectrum of disciplines. Choose two spells from any class, including this one. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip.

The chosen spells count as Bard spells for you and are included in the number in the Spells Known column of the Bard table.

You learn two additional spells from any class at 14th level and again at 18th level."
Class Features,Superior Inspiration,"At 20th level, when you roll initiative and have no uses of Bardic Inspiration left, you regain one use."
Bard,Bard Colleges,
Bard Colleges,College of Lore,"Bards of the College of Lore know something about most things, collecting bits of knowledge from sources as diverse as scholarly tomes and peasant tales. Whether singing folk ballads in taverns or elaborate compositions in royal courts, these Bards use their gifts to hold audiences spellbound. When the applause dies down, the audience members might find themselves questioning everything they held to be true, from their faith in the priesthood of the local temple to their loyalty to the king.

The loyalty of these Bards lies in the pursuit of beauty and truth, not in fealty to a monarch or following the tenets of a deity. A noble who keeps such a Bard as a herald or advisor knows that the Bard would rather be honest than politic.

The college’s members gather in libraries and sometimes in actual colleges, complete with classrooms and dormitories, to share their lore with one another. They also meet at festivals or affairs of state, where they can expose corruption, unravel lies, and poke fun at self-important figures of authority."
College of Lore,Bonus Proficiencies,"When you join the College of Lore at 3rd level, you gain proficiency with three skills of your choice."
College of Lore,Cutting Words,"Also at 3rd level, you learn how to use your wit to distract, confuse, and otherwise sap the confidence and competence of others. When a creature that you can locate locate can see within 60 feet of you makes an attack roll, an ability check, or a damage roll, you can use your reaction to expend one of your uses of Bardic Inspiration, rolling a Bardic Inspiration die and subtracting the number rolled from the creature’s roll. You can choose to use this feature after the creature makes its roll, but before the GM determines whether the attack roll or ability check succeeds or fails, or before the creature deals its damage. The creature is immune if it can’t hear (or see if you’re using a sign language) you or if it’s immune to being charmed."
College of Lore,Additional Magical Secrets,"At 6th level, you learn two spells of your choice from any class. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip. The chosen spells count as Bard spells for you but don’t count against the number of Bard spells you know."
College of Lore,Peerless Skill,"Starting at 14th level, when you make an ability check, you can expend one use of Bardic Inspiration. Roll a Bardic Inspiration die and add the number rolled to your ability check. You can choose to do so after you roll the die for the ability check, but before the GM tells you whether you succeed or fail."
Bard Colleges,College of Fools,"The College of Fools is a motley lot, varying from bumbling beggars to the eyesores of a noble court, decked out in the finest eye-bleeding frippery. One can tell at a glance they are not to be taken seriously, but beneath the facade there is... well, usually a fool, but also a sharp mind, quick hands, and an uncanny understanding of how to manipulate any situation.

The College of Fools is tolerated much like an assassin’s guild might be: a useful menace to society. Hiding in the brilliant outfits in plain sight more surely than darkened leather could hide them in the shadows, they gather information, poke and prod their enemies, and—just occasionally—toss a knife in the air and forget to catch it before it hits someone."
College of Fools,College of Fools Features,
College of Fools,Jester’s Juggling,"When you join the College of Fools at 3rd level, you master the art of juggling almost anything. You gain proficiency in Performance (or another skill of your choice if you are already proficient in it).

Additionally, you can draw or stow any number of items or weapons during your turn. You can hold more weapons or objects than you have hands, but when you do so, at the end of your turn you must make Dexterity (Performance) check with a DC of 5 times the additional number of hands you need to wield or hold all the items you are holding (for example, to hold 3 daggers would be a DC 5, while to hold 3 daggers and greatsword would be DC 15). On failure, you drop any that you don’t have sufficient hands to hold."
College of Fools,Fool’s Fumble,"Additionally at 3rd level, when you fail an ability check or attack roll, you can expend a use of Bardic Inspiration to pass it off as an intentional failure, recovering in spectacular fashion. When you do so, reroll the check or attack roll and add your Bardic Inspiration to the result."
College of Fools,Acrobatic Antics,"Starting at 6th level, your acrobatic mastery gives you proficiency in Acrobatics (or another skill of your choice if you are already proficient in it). You can use your acrobatic foolery to tumble around the most dangerous places safely. You gain the following benefits:

    ●  	**Acrobatic Movement.** You gain a climbing speed of 20 feet, and falls of 20 feet or less deal no damage to you. Whenever you fall, you can choose to land on your feet (rather than fall prone).

    ●  	**Tumble.** As a bonus action, you can leap and tumble, spending up to 10 feet of movement while ignoring difficult terrain, not provoking opportunity attacks, and moving through creatures’ spaces (including hostile creatures).

    ●  	**Balance.** You gain advantage on saving throws and ability checks made to avoid falling or being knocked prone."
College of Fools,Fatal Flourish,"Additionally at 6th level, when you use your Action to make an ability check, cast Vicious Mockery, or make a weapon attack with a melee weapon, you can make a single weapon attack with a light melee weapon or dart as bonus action."
College of Fools,Energetic Encore,"Starting at 14th level, you can build off the success of others and encourage them to greater heights. When another creature scores a critical hit while within 60 feet of you, you can use your reaction to make a single weapon attack against the same target. When you deal a critical hit or a creature fails a saving throw against one of your spells by 5 or more, you can use your reaction to take the Help action to encourage an ally to follow up on success. You can expend a use of Bardic Inspiration to take one of these reactions on any hit or failed save, even when the attack was not a critical hit."
Classes,Cleric,"Clerics wield divine power as weapons and shields, serving as living conduits of their deity’s will."
Cleric,Class Features,"As a Cleric, you gain the following class features."
Class Features,Hit Points,"**Hit Dice:** 1d8 per Cleric level

**Hit Points at 1st Level:** 8 + your Constitution modifier

**Hit Points at Higher Levels:** 1d8 (or 5) + your Constitution modifier per Cleric level after 1st"
Class Features,Proficiencies,"**Armor:** Light armor, medium armor, shields

**Weapons:** Simple weapons

**Tools:** None

**Saving Throws:** Wisdom, Charisma

**Skills:** Choose two from History, Insight, Medicine, Persuasion, and Religion"
Class Features,Equipment,"Level | Proficiency Bonus | Cantrips Known | 1st | 2nd | 3rd | 4th | 5th | 6th | 7th | 8th | 9th | Features
1st | +2 | 3 | 2 | - | - | - | - | - | - | - | - | Spellcasting, Divine Domain
2nd | +2 | 3 | 3 | - | - | - | - | - | - | - | - | Channel Divinity (1/rest), Divine Domain feature
3rd | +2 | 3 | 4 | 2 | - | - | - | - | - | - | - | -
4th | +2 | 4 | 4 | 3 | - | - | - | - | - | - | - | Ability Score Improvement
5th | +3 | 4 | 4 | 3 | 2 | - | - | - | - | - | - | Destroy Undead (CR 1/2)
6th | +3 | 4 | 4 | 3 | 3 | - | - | - | - | - | - | Channel Divinity (2/rest), Divine Domain feature
7th | +3 | 4 | 4 | 3 | 3 | 1 | - | - | - | - | - | -
8th | +3 | 4 | 4 | 3 | 3 | 2 | - | - | - | - | - | Ability Score Improvement, Destroy Undead (CR 1), Divine Domain feature
9th | +4 | 4 | 4 | 3 | 3 | 3 | 1 | - | - | - | - | -
10th | +4 | 5 | 4 | 3 | 3 | 3 | 2 | - | - | - | - | Divine Intervention
11th | +4 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | - | - | - | Destroy Undead (CR 2)
12th | +4 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | - | - | - | Ability Score Improvement
13th | +5 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | - | - | -
14th | +5 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | - | - | Destroy Undead (CR 3)
15th | +5 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | - | -
16th | +5 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | - | Ability Score Improvement
17th | +6 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | 1 | Destroy Undead (CR 4), Divine Domain feature
18th | +6 | 5 | 4 | 3 | 3 | 3 | 3 | 1 | 1 | 1 | 1 | Channel Divinity (3/rest)
19th | +6 | 5 | 4 | 3 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | Ability Score Improvement
20th | +6 | 5 | 4 | 3 | 3 | 3 | 3 | 2 | 2 | 1 | 1 | Divine Intervention improvement"
Class Features,Spellcasting,"As a conduit for divine power, you can cast Cleric spells."
Spellcasting,Cantrips,"At 1st level, you know three cantrips of your choice from the Cleric spell list. You learn additional Cleric cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Cleric table."
